__time,/uav/cv/swing_angle/world_frame/cartesian/header/stamp/nanosec,/uav/cv/swing_angle/world_frame/cartesian/header/stamp/sec,/uav/cv/swing_angle/world_frame/cartesian/vector/x,/uav/cv/swing_angle/world_frame/cartesian/vector/y,/uav/cv/swing_angle/world_frame/cartesian/vector/z,/uav/cv_comp/swing_angle/world_frame/cartesian/header/stamp/nanosec,/uav/cv_comp/swing_angle/world_frame/cartesian/header/stamp/sec,/uav/cv_comp/swing_angle/world_frame/cartesian/vector/x,/uav/cv_comp/swing_angle/world_frame/cartesian/vector/y,/uav/cv_comp/swing_angle/world_frame/cartesian/vector/z,/uav/truth/swing_angle/world_frame/cartesian/header/stamp/nanosec,/uav/truth/swing_angle/world_frame/cartesian/header/stamp/sec,/uav/truth/swing_angle/world_frame/cartesian/vector/x,/uav/truth/swing_angle/world_frame/cartesian/vector/y,/uav/truth/swing_angle/world_frame/cartesian/vector/z
1777288390.881838,,,,,,881602745.000000000,1777288390.000000000,-0.163619637,0.014898515,1.000000000,,,,,
1777288390.882556,,,,,,,,,,,10000000.000000000,399.000000000,-0.141289673,-0.027229278,1.099998942
1777288390.888426,,,,,,,,,,,15000000.000000000,399.000000000,-0.140554340,-0.027614527,1.099998934
1777288390.890697,,,,,,890437467.000000000,1777288390.000000000,-0.173564794,0.006287867,1.000000000,,,,,
1777288390.893053,,,,,,,,,,,20000000.000000000,399.000000000,-0.139755135,-0.027920277,1.099998929
1777288390.893089,,,,,,892990138.000000000,1777288390.000000000,-0.119435802,0.059758987,1.000000000,,,,,
1777288390.897422,,,,,,,,,,,25000000.000000000,399.000000000,-0.138901983,-0.028145720,1.099998927
1777288390.897464,,,,,,897330889.000000000,1777288390.000000000,-0.124199411,0.055631672,1.000000000,,,,,
1777288390.903282,,,,,,,,,,,30000000.000000000,399.000000000,-0.138002089,-0.028290134,1.099998927
1777288390.903351,,,,,,903131492.000000000,1777288390.000000000,-0.130499705,0.050179110,1.000000000,,,,,
1777288390.907782,,,,,,,,,,,35000000.000000000,399.000000000,-0.137060798,-0.028352919,1.099998929
1777288390.908234,,,,,,908147697.000000000,1777288390.000000000,-0.135914302,0.045520093,1.000000000,,,,,
1777288390.911439,,,,,,911323242.000000000,1777288390.000000000,-0.139326533,0.042588470,1.000000000,,,,,
1777288390.912094,,,,,,,,,,,40000000.000000000,399.000000000,-0.136077414,-0.028337391,1.099998933
1777288390.918643,,,,,,918370285.000000000,1777288390.000000000,-0.146804990,0.036185844,1.000000000,,,,,
1777288390.918720,,,,,,,,,,,45000000.000000000,399.000000000,-0.135043188,-0.028244377,1.099998940
1777288390.922817,,,,,,922651384.000000000,1777288390.000000000,-0.151314567,0.032331335,1.000000000,,,,,
1777288390.922875,,,,,,,,,,,50000000.000000000,399.000000000,-0.133948240,-0.028070068,1.099998949
1777288390.927126,,,,,,,,,,,55000000.000000000,399.000000000,-0.132785578,-0.027812027,1.099998962
1777288390.930090,40000000.000000000,399.000000000,-0.001982720,0.170306457,1.000000000,,,,,,,,,,
1777288390.930192,,,,,,929957304.000000000,1777288390.000000000,-0.107518928,0.073883326,1.000000000,,,,,
1777288390.931576,,,,,,931464094.000000000,1777288390.000000000,-0.109063781,0.072558969,1.000000000,,,,,
1777288390.932665,,,,,,,,,,,60000000.000000000,399.000000000,-0.131550364,-0.027468750,1.099998979
1777288390.937550,,,,,,,,,,,65000000.000000000,399.000000000,-0.130240780,-0.027039561,1.099998998
1777288390.937608,,,,,,937469983.000000000,1777288390.000000000,-0.115167026,0.067327662,1.000000000,,,,,
1777288390.941906,,,,,,,,,,,70000000.000000000,399.000000000,-0.128863565,-0.026525533,1.099999022
1777288390.942001,,,,,,941912938.000000000,1777288390.000000000,-0.119654539,0.063490879,1.000000000,,,,,
1777288390.947841,,,,,,,,,,,75000000.000000000,399.000000000,-0.127426969,-0.025930905,1.099999047
1777288390.949109,,,,,,948981010.000000000,1777288390.000000000,-0.126740470,0.057473359,1.000000000,,,,,
1777288390.952617,,,,,,952323099.000000000,1777288390.000000000,-0.130075659,0.054645588,1.000000000,,,,,
1777288390.954212,,,,,,,,,,,80000000.000000000,399.000000000,-0.125939336,-0.025258385,1.099999075
1777288390.958306,,,,,,,,,,,85000000.000000000,399.000000000,-0.124406729,-0.024510741,1.099999104
1777288390.958391,,,,,,958270348.000000000,1777288390.000000000,-0.135945412,0.049673233,1.000000000,,,,,
1777288390.963452,,,,,,963087688.000000000,1777288390.000000000,-0.140651384,0.045681377,1.000000000,,,,,
1777288390.963565,,,,,,,,,,,90000000.000000000,399.000000000,-0.122832138,-0.023691924,1.099999134
1777288390.968028,,,,,,,,,,,95000000.000000000,399.000000000,-0.121218324,-0.022805239,1.099999165
1777288390.971065,,,,,,970834820.000000000,1777288390.000000000,-0.148131263,0.039335302,1.000000000,,,,,
1777288390.972675,,,,,,972521790.000000000,1777288390.000000000,-0.149755427,0.037957159,1.000000000,,,,,
1777288390.972711,,,,,,,,,,,100000000.000000000,399.000000000,-0.119567877,-0.021853588,1.099999196
1777288390.976132,80000000.000000000,399.000000000,-0.003558907,0.164491965,1.000000000,,,,,,,,,,
1777288390.977771,,,,,,977667538.000000000,1777288390.000000000,-0.103823515,0.077922687,1.000000000,,,,,
1777288390.977790,,,,,,,,,,,105000000.000000000,399.000000000,-0.117882689,-0.020840043,1.099999228
1777288390.982254,,,,,,,,,,,110000000.000000000,399.000000000,-0.116161765,-0.019769660,1.099999260
1777288390.982347,,,,,,982255946.000000000,1777288390.000000000,-0.108112339,0.074284713,1.000000000,,,,,
1777288390.987348,,,,,,,,,,,115000000.000000000,399.000000000,-0.114404064,-0.018647222,1.099999291
