__time,/uav/cv/swing_angle/world_frame/cartesian/header/stamp/nanosec,/uav/cv/swing_angle/world_frame/cartesian/header/stamp/sec,/uav/cv/swing_angle/world_frame/cartesian/vector/x,/uav/cv/swing_angle/world_frame/cartesian/vector/y,/uav/cv/swing_angle/world_frame/cartesian/vector/z,/uav/cv_comp/swing_angle/world_frame/cartesian/header/stamp/nanosec,/uav/cv_comp/swing_angle/world_frame/cartesian/header/stamp/sec,/uav/cv_comp/swing_angle/world_frame/cartesian/vector/x,/uav/cv_comp/swing_angle/world_frame/cartesian/vector/y,/uav/cv_comp/swing_angle/world_frame/cartesian/vector/z,/uav/truth/swing_angle/world_frame/cartesian/header/stamp/nanosec,/uav/truth/swing_angle/world_frame/cartesian/header/stamp/sec,/uav/truth/swing_angle/world_frame/cartesian/vector/x,/uav/truth/swing_angle/world_frame/cartesian/vector/y,/uav/truth/swing_angle/world_frame/cartesian/vector/z
1777288243.334711,,,,,,334605826.000000000,1777288243.000000000,3.175886870,-31.913411911,1.000000000,,,,,
1777288243.340208,,,,,,340025328.000000000,1777288243.000000000,3.321779110,-32.230516765,1.000000000,,,,,
1777288243.340249,,,,,,,,,,,225000000.000000000,252.000000000,3.212903338,-31.975916299,1.091387902
1777288243.344150,,,,,,,,,,,230000000.000000000,252.000000000,3.278003369,-32.402338097,1.091123299
1777288243.344203,,,,,,344138912.000000000,1777288243.000000000,3.363825841,-32.577177105,1.000000000,,,,,
1777288243.349798,,,,,,,,,,,235000000.000000000,252.000000000,3.342782840,-32.821945821,1.090856024
1777288243.353415,,,,,,353134031.000000000,1777288243.000000000,3.453121763,-33.312078848,1.000000000,,,,,
1777288243.355763,,,,,,355459906.000000000,1777288243.000000000,3.476029729,-33.500525721,1.000000000,,,,,
1777288243.355826,,,,,,,,,,,240000000.000000000,252.000000000,3.407216991,-33.234649237,1.090586190
1777288243.360223,,,,,,,,,,,245000000.000000000,252.000000000,3.471284158,-33.640361344,1.090313883
1777288243.360331,,,,,,360087882.000000000,1777288243.000000000,3.520891469,-33.869218516,1.000000000,,,,,
1777288243.365669,,,,,,365532211.000000000,1777288243.000000000,3.572650658,-34.294179736,1.000000000,,,,,
1777288243.365712,,,,,,,,,,,250000000.000000000,252.000000000,3.534962852,-34.038993165,1.090039207
1777288243.370356,,,,,,370006285.000000000,1777288243.000000000,3.614481256,-34.637423623,1.000000000,,,,,
1777288243.370654,,,,,,,,,,,255000000.000000000,252.000000000,3.598230462,-34.430458841,1.089762261
1777288243.374123,,,,,,373911395.000000000,1777288243.000000000,3.650452731,-34.932420625,1.000000000,,,,,
1777288243.375428,,,,,,,,,,,260000000.000000000,252.000000000,3.661062473,-34.814669260,1.089483161
1777288243.377544,240000000.000000000,252.000000000,3.696612067,-33.328676666,1.000000000,,,,,,,,,,
1777288243.379697,,,,,,,,,,,265000000.000000000,252.000000000,3.723428954,-35.191530130,1.089202083
1777288243.379739,,,,,,379649359.000000000,1777288243.000000000,3.794398851,-35.318666885,1.000000000,,,,,
1777288243.384135,,,,,,383831953.000000000,1777288243.000000000,3.831509358,-35.621952124,1.000000000,,,,,
1777288243.385822,,,,,,,,,,,270000000.000000000,252.000000000,3.785294148,-35.560947382,1.088919236
1777288243.390128,,,,,,,,,,,275000000.000000000,252.000000000,3.846627682,-35.922834882,1.088634795
1777288243.390653,,,,,,390557422.000000000,1777288243.000000000,3.889497537,-36.095687694,1.000000000,,,,,
1777288243.393681,,,,,,393552954.000000000,1777288243.000000000,3.914988496,-36.303892695,1.000000000,,,,,
1777288243.394802,,,,,,,,,,,280000000.000000000,252.000000000,3.907396071,-36.277110277,1.088348910
1777288243.400161,,,,,,,,,,,285000000.000000000,252.000000000,3.967561909,-36.623690172,1.088061753
1777288243.400213,,,,,,400014565.000000000,1777288243.000000000,3.968408298,-36.739933808,1.000000000,,,,,
1777288243.405332,,,,,,405121285.000000000,1777288243.000000000,4.009637188,-37.076285639,1.000000000,,,,,
1777288243.405397,,,,,,,,,,,290000000.000000000,252.000000000,4.027084664,-36.962487764,1.087773536
1777288243.409724,,,,,,,,,,,295000000.000000000,252.000000000,4.085922180,-37.293422044,1.087484457
1777288243.412161,,,,,,412022527.000000000,1777288243.000000000,4.063529287,-37.515645741,1.000000000,,,,,
1777288243.412558,280000000.000000000,252.000000000,4.185214902,-36.403367679,1.000000000,,,,,,,,,,
1777288243.414656,,,,,,,,,,,300000000.000000000,252.000000000,4.144035652,-37.616412254,1.087194712
1777288243.414697,,,,,,414594558.000000000,1777288243.000000000,4.194567823,-37.741697985,1.000000000,,,,,
1777288243.419920,,,,,,,,,,,305000000.000000000,252.000000000,4.201388761,-37.931377817,1.086904520
1777288243.420058,,,,,,419952914.000000000,1777288243.000000000,4.234854309,-38.069163551,1.000000000,,,,,
1777288243.424309,,,,,,,,,,,310000000.000000000,252.000000000,4.257948229,-38.238238276,1.086614114
1777288243.424353,,,,,,424266415.000000000,1777288243.000000000,4.266531861,-38.326695721,1.000000000,,,,,
1777288243.429492,,,,,,,,,,,315000000.000000000,252.000000000,4.313676582,-38.536918836,1.086323709
1777288243.432211,,,,,,432055545.000000000,1777288243.000000000,4.321250515,-38.771789472,1.000000000,,,,,
1777288243.434554,,,,,,434413040.000000000,1777288243.000000000,4.337581316,-38.904661059,1.000000000,,,,,
1777288243.434579,,,,,,,,,,,320000000.000000000,252.000000000,4.368534672,-38.827340854,1.086033548
1777288243.440946,,,,,,440679853.000000000,1777288243.000000000,4.379353439,-39.244810972,1.000000000,,,,,
1777288243.441028,,,,,,,,,,,325000000.000000000,252.000000000,4.422483184,-39.109426490,1.085743898
1777288243.445134,,,,,,444945765.000000000,1777288243.000000000,4.407023431,-39.470249817,1.000000000,,,,,
1777288243.445173,,,,,,,,,,,330000000.000000000,252.000000000,4.475481917,-39.383097758,1.085455051
1777288243.450358,,,,,,,,,,,335000000.000000000,252.000000000,4.527489007,-39.648287167,1.085167241
1777288243.454103,320000000.000000000,252.000000000,4.614546372,-38.862062622,1.000000000,,,,,,,,,,
1777288243.454221,,,,,,454013691.000000000,1777288243.000000000,4.597473602,-40.101536530,1.000000000,,,,,
1777288243.456815,,,,,,456577266.000000000,1777288243.000000000,4.612888062,-40.227014606,1.000000000,,,,,
1777288243.456905,,,,,,,,,,,340000000.000000000,252.000000000,4.578467190,-39.904927478,1.084880693
1777288243.459434,,,,,,,,,,,345000000.000000000,252.000000000,4.628379941,-40.152951057,1.084595659
1777288243.459484,,,,,,459372709.000000000,1777288243.000000000,4.629351454,-40.361161301,1.000000000,,,,,
1777288243.464605,,,,,,,,,,,350000000.000000000,252.000000000,4.677184609,-40.392289853,1.084312413
1777288243.464771,,,,,,464692161.000000000,1777288243.000000000,4.659430226,-40.606693773,1.000000000,,,,,
1777288243.469547,,,,,,,,,,,355000000.000000000,252.000000000,4.724835411,-40.622879093,1.084031235
1777288243.470757,,,,,,470604114.000000000,1777288243.000000000,4.691290523,-40.867486287,1.000000000,,,,,
1777288243.473651,,,,,,473545753.000000000,1777288243.000000000,4.706752267,-40.994237765,1.000000000,,,,,
1777288243.474375,,,,,,,,,,,360000000.000000000,252.000000000,4.771288133,-40.844652570,1.083752419
1777288243.480050,,,,,,,,,,,365000000.000000000,252.000000000,4.816500957,-41.057548056,1.083476259
1777288243.480191,,,,,,480068970.000000000,1777288243.000000000,4.739112621,-41.260433174,1.000000000,,,,,
1777288243.486080,,,,,,485751499.000000000,1777288243.000000000,4.765817630,-41.480963391,1.000000000,,,,,
1777288243.486192,,,,,,,,,,,370000000.000000000,252.000000000,4.860435315,-41.261505188,1.083203052
1777288243.490407,,,,,,,,,,,375000000.000000000,252.000000000,4.903052921,-41.456468535,1.082933069
1777288243.493104,,,,,,492935565.000000000,1777288243.000000000,4.797205128,-41.741522664,1.000000000,,,,,
1777288243.493844,360000000.000000000,252.000000000,5.002327490,-40.905001599,1.000000000,,,,,,,,,,
1777288243.495325,,,,,,495184936.000000000,1777288243.000000000,4.923861236,-41.776828506,1.000000000,,,,,
1777288243.495373,,,,,,,,,,,380000000.000000000,252.000000000,4.944311513,-41.642381526,1.082666594
1777288243.500175,,,,,,499998312.000000000,1777288243.000000000,4.943429368,-41.939264856,1.000000000,,,,,
1777288243.500237,,,,,,,,,,,385000000.000000000,252.000000000,4.984167524,-41.819186694,1.082403957
1777288243.504786,,,,,,504665292.000000000,1777288243.000000000,4.961368461,-42.088976153,1.000000000,,,,,
1777288243.504820,,,,,,,,,,,390000000.000000000,252.000000000,5.022583474,-41.986828197,1.082145492
1777288243.509525,,,,,,,,,,,395000000.000000000,252.000000000,5.059525322,-42.145255546,1.081891498
1777288243.512233,,,,,,512096595.000000000,1777288243.000000000,4.987307730,-42.307529576,1.000000000,,,,,
1777288243.514629,,,,,,514514114.000000000,1777288243.000000000,4.995467143,-42.376519420,1.000000000,,,,,
1777288243.514678,,,,,,,,,,,400000000.000000000,252.000000000,5.094957658,-42.294417804,1.081642287
1777288243.519897,,,,,,,,,,,405000000.000000000,252.000000000,5.128844010,-42.434262661,1.081398220
1777288243.519954,,,,,,519744989.000000000,1777288243.000000000,5.011809883,-42.515895815,1.000000000,,,,,
1777288243.524846,,,,,,524643516.000000000,1777288243.000000000,5.025951977,-42.637713795,1.000000000,,,,,
1777288243.524898,,,,,,,,,,,410000000.000000000,252.000000000,5.161146127,-42.564736945,1.081159701
1777288243.529782,,,,,,,,,,,415000000.000000000,252.000000000,5.191829477,-42.685794002,1.080927099
1777288243.532319,,,,,,532166563.000000000,1777288243.000000000,5.044930302,-42.804221173,1.000000000,,,,,
1777288243.533978,,,,,,533798427.000000000,1777288243.000000000,5.048918233,-42.839366872,1.000000000,,,,,
1777288243.536101,400000000.000000000,252.000000000,5.316736915,-42.420440762,1.000000000,,,,,,,,,,
1777288243.536318,,,,,,,,,,,420000000.000000000,252.000000000,5.220859969,-42.797390837,1.080700756
1777288243.541420,,,,,,541036856.000000000,1777288243.000000000,5.190899861,-42.980812283,1.000000000,,,,,
1777288243.541536,,,,,,,,,,,425000000.000000000,252.000000000,5.248205813,-42.899489019,1.080480988
1777288243.544916,,,,,,544788356.000000000,1777288243.000000000,5.198128745,-43.046497900,1.000000000,,,,,
1777288243.544949,,,,,,,,,,,430000000.000000000,252.000000000,5.273843052,-42.992052861,1.080268087
1777288243.550357,,,,,,,,,,,435000000.000000000,252.000000000,5.297752610,-43.075048891,1.080062334
1777288243.552775,,,,,,552540215.000000000,1777288243.000000000,5.210051496,-43.160047510,1.000000000,,,,,
1777288243.554937,,,,,,,,,,,440000000.000000000,252.000000000,5.319911318,-43.148438034,1.079864069
1777288243.555045,,,,,,554944118.000000000,1777288243.000000000,5.213456464,-43.193123931,1.000000000,,,,,
1777288243.560087,,,,,,559969164.000000000,1777288243.000000000,5.219286995,-43.252910119,1.000000000,,,,,
1777288243.560132,,,,,,,,,,,445000000.000000000,252.000000000,5.340290188,-43.212180046,1.079673695
1777288243.564958,,,,,,,,,,,450000000.000000000,252.000000000,5.358860282,-43.266236725,1.079491631
1777288243.565023,,,,,,564898259.000000000,1777288243.000000000,5.223768111,-43.302530821,1.000000000,,,,,
1777288243.570279,,,,,,,,,,,455000000.000000000,252.000000000,5.375601263,-43.310582133,1.079318197
1777288243.572761,,,,,,572586478.000000000,1777288243.000000000,5.227747022,-43.357888560,1.000000000,,,,,
1777288243.573284,440000000.000000000,252.000000000,5.505888700,-43.200405688,1.000000000,,,,,,,,,,
1777288243.575177,,,,,,,,,,,460000000.000000000,252.000000000,5.390497830,-43.345195323,1.079153646
1777288243.575211,,,,,,575108003.000000000,1777288243.000000000,5.344191150,-43.368280920,1.000000000,,,,,
1777288243.579538,,,,,,,,,,,465000000.000000000,252.000000000,5.403537569,-43.370057849,1.078998208
1777288243.579582,,,,,,579489974.000000000,1777288243.000000000,5.345009171,-43.388535378,1.000000000,,,,,
1777288243.584567,,,,,,584374525.000000000,1777288243.000000000,5.344685415,-43.402184100,1.000000000,,,,,
1777288243.584620,,,,,,,,,,,470000000.000000000,252.000000000,5.414705194,-43.385146068,1.078852181
1777288243.589759,,,,,,,,,,,475000000.000000000,252.000000000,5.423984906,-43.390432563,1.078715928
1777288243.592632,,,,,,592519086.000000000,1777288243.000000000,5.340709263,-43.400121503,1.000000000,,,,,
1777288243.593544,,,,,,593480583.000000000,1777288243.000000000,5.340191621,-43.399531706,1.000000000,,,,,
1777288243.594403,,,,,,,,,,,480000000.000000000,252.000000000,5.431363154,-43.385885900,1.078589887
1777288243.600475,,,,,,600275244.000000000,1777288243.000000000,5.334130095,-43.378028241,1.000000000,,,,,
1777288243.600527,,,,,,,,,,,485000000.000000000,252.000000000,5.436828823,-43.371479135,1.078474500
1777288243.604919,,,,,,604762393.000000000,1777288243.000000000,5.329081079,-43.356263349,1.000000000,,,,,
1777288243.604971,,,,,,,,,,,490000000.000000000,252.000000000,5.440375620,-43.347196247,1.078370113
1777288243.609917,,,,,,,,,,,495000000.000000000,252.000000000,5.442001210,-43.313032367,1.078276941
1777288243.612695,,,,,,612562113.000000000,1777288243.000000000,5.317132267,-43.295570366,1.000000000,,,,,
1777288243.613572,480000000.000000000,252.000000000,5.606512234,-43.506956085,1.000000000,,,,,,,,,,
1777288243.613736,,,,,,613654989.000000000,1777288243.000000000,5.418919402,-43.308926064,1.000000000,,,,,
1777288243.615016,,,,,,,,,,,500000000.000000000,252.000000000,5.441710910,-43.268988493,1.078195120
1777288243.619820,,,,,,,,,,,505000000.000000000,252.000000000,5.439510716,-43.215064715,1.078124798
1777288243.619878,,,,,,619735720.000000000,1777288243.000000000,5.407439324,-43.245185806,1.000000000,,,,,
1777288243.624367,,,,,,,,,,,510000000.000000000,252.000000000,5.435400271,-43.151253996,1.078066226
