__time,/uav/cv/swing_angle/world_frame/cartesian/header/stamp/nanosec,/uav/cv/swing_angle/world_frame/cartesian/header/stamp/sec,/uav/cv/swing_angle/world_frame/cartesian/vector/x,/uav/cv/swing_angle/world_frame/cartesian/vector/y,/uav/cv/swing_angle/world_frame/cartesian/vector/z,/uav/cv_comp/swing_angle/world_frame/cartesian/header/stamp/nanosec,/uav/cv_comp/swing_angle/world_frame/cartesian/header/stamp/sec,/uav/cv_comp/swing_angle/world_frame/cartesian/vector/x,/uav/cv_comp/swing_angle/world_frame/cartesian/vector/y,/uav/cv_comp/swing_angle/world_frame/cartesian/vector/z,/uav/truth/swing_angle/world_frame/cartesian/header/stamp/nanosec,/uav/truth/swing_angle/world_frame/cartesian/header/stamp/sec,/uav/truth/swing_angle/world_frame/cartesian/vector/x,/uav/truth/swing_angle/world_frame/cartesian/vector/y,/uav/truth/swing_angle/world_frame/cartesian/vector/z
1777288355.025059,,,,,,,,,,,330000000.000000000,363.000000000,-1.573074468,8.961402880,1.098560089
1777288355.025151,,,,,,25058794.000000000,1777288355.000000000,-1.155871932,8.070892946,1.000000000,,,,,
1777288355.030022,,,,,,,,,,,335000000.000000000,363.000000000,-1.486095753,8.321865431,1.098670296
1777288355.033101,,,,,,32922353.000000000,1777288355.000000000,-0.992426004,7.010789716,1.000000000,,,,,
1777288355.034875,,,,,,34662024.000000000,1777288355.000000000,-0.956242903,6.776104886,1.000000000,,,,,
1777288355.035599,,,,,,,,,,,340000000.000000000,363.000000000,-1.399159652,7.681383058,1.098771462
1777288355.038650,320000000.000000000,363.000000000,-1.576293444,10.680095287,1.000000000,,,,,,,,,,
1777288355.041542,,,,,,,,,,,345000000.000000000,363.000000000,-1.312261900,7.040081286,1.098863813
1777288355.041628,,,,,,41348504.000000000,1777288355.000000000,-0.898565718,6.354917186,1.000000000,,,,,
1777288355.045482,,,,,,45296870.000000000,1777288355.000000000,-0.816198748,5.820686000,1.000000000,,,,,
1777288355.045543,,,,,,,,,,,350000000.000000000,363.000000000,-1.225398690,6.398085002,1.098947577
1777288355.051710,,,,,,,,,,,355000000.000000000,363.000000000,-1.138572755,5.755538089,1.099022935
1777288355.053468,,,,,,53324248.000000000,1777288355.000000000,-0.648376501,4.732150181,1.000000000,,,,,
1777288355.055260,,,,,,,,,,,360000000.000000000,363.000000000,-1.051788188,5.112565916,1.099090114
1777288355.055313,,,,,,55209484.000000000,1777288355.000000000,-0.608949321,4.476412654,1.000000000,,,,,
1777288355.060491,,,,,,,,,,,365000000.000000000,363.000000000,-0.965041060,4.469278427,1.099149350
1777288355.060677,,,,,,60592946.000000000,1777288355.000000000,-0.496260633,3.745471056,1.000000000,,,,,
1777288355.066535,,,,,,,,,,,370000000.000000000,363.000000000,-0.878316423,3.825777449,1.099200873
1777288355.066587,,,,,,66466103.000000000,1777288355.000000000,-0.373243278,2.947500794,1.000000000,,,,,
1777288355.071518,,,,,,,,,,,375000000.000000000,363.000000000,-0.791606253,3.182192708,1.099244851
1777288355.072163,360000000.000000000,363.000000000,-1.072970611,5.765064204,1.000000000,,,,,,,,,,
1777288355.073663,,,,,,73505628.000000000,1777288355.000000000,-0.338206314,2.030850595,1.000000000,,,,,
1777288355.075323,,,,,,75225812.000000000,1777288355.000000000,-0.302194713,1.797068231,1.000000000,,,,,
1777288355.075416,,,,,,,,,,,380000000.000000000,363.000000000,-0.704904303,2.538647230,1.099281480
1777288355.080114,,,,,,,,,,,385000000.000000000,363.000000000,-0.618203662,1.895255622,1.099310956
1777288355.080148,,,,,,80053667.000000000,1777288355.000000000,-0.201121564,1.141056641,1.000000000,,,,,
1777288355.086582,,,,,,86401277.000000000,1777288355.000000000,-0.068277538,0.278993352,1.000000000,,,,,
1777288355.086627,,,,,,,,,,,390000000.000000000,363.000000000,-0.531501189,1.252125428,1.099333467
1777288355.090747,,,,,,,,,,,395000000.000000000,363.000000000,-0.444798998,0.609375045,1.099349173
1777288355.092801,,,,,,92673236.000000000,1777288355.000000000,0.062885413,-0.572009939,1.000000000,,,,,
1777288355.094333,,,,,,94237626.000000000,1777288355.000000000,0.095591524,-0.784203079,1.000000000,,,,,
1777288355.095655,,,,,,,,,,,400000000.000000000,363.000000000,-0.358092423,-0.032895608,1.099358248
1777288355.101473,,,,,,,,,,,405000000.000000000,363.000000000,-0.271368634,-0.674592688,1.099360845
1777288355.101550,,,,,,101304272.000000000,1777288355.000000000,0.243136631,-1.741192188,1.000000000,,,,,
1777288355.105560,,,,,,105356685.000000000,1777288355.000000000,0.327660928,-2.289335995,1.000000000,,,,,
1777288355.105619,,,,,,,,,,,410000000.000000000,363.000000000,-0.184609079,-1.315618755,1.099357094
1777288355.110324,,,,,,,,,,,415000000.000000000,363.000000000,-0.097807768,-1.955848205,1.099347101
1777288355.112843,,,,,,112623569.000000000,1777288355.000000000,0.478891650,-3.269927879,1.000000000,,,,,
1777288355.113180,400000000.000000000,363.000000000,-1.295388121,-0.435684727,1.000000000,,,,,,,,,,
1777288355.114517,,,,,,114385432.000000000,1777288355.000000000,-0.027914099,-3.453302986,1.000000000,,,,,
1777288355.115838,,,,,,,,,,,420000000.000000000,363.000000000,-0.010961528,-2.595164055,1.099330998
1777288355.120397,,,,,,,,,,,425000000.000000000,363.000000000,0.075929430,-3.233459487,1.099308909
1777288355.120478,,,,,,120246705.000000000,1777288355.000000000,0.093148783,-4.241656501,1.000000000,,,,,
1777288355.124393,,,,,,124288858.000000000,1777288355.000000000,0.176570613,-4.784283648,1.000000000,,,,,
1777288355.125040,,,,,,,,,,,430000000.000000000,363.000000000,0.162865748,-3.870636535,1.099280936
1777288355.130078,,,,,,,,,,,435000000.000000000,363.000000000,0.249849800,-4.506589121,1.099247162
1777288355.133331,,,,,,133019263.000000000,1777288355.000000000,0.356363640,-5.951035839,1.000000000,,,,,
1777288355.136150,,,,,,135922738.000000000,1777288355.000000000,0.416100191,-6.338399789,1.000000000,,,,,
1777288355.136245,,,,,,,,,,,440000000.000000000,363.000000000,0.336882983,-5.141215558,1.099207674
1777288355.140440,,,,,,,,,,,445000000.000000000,363.000000000,0.423975313,-5.774415089,1.099162543
1777288355.140667,,,,,,140544614.000000000,1777288355.000000000,0.511032227,-6.953251969,1.000000000,,,,,
1777288355.145796,,,,,,,,,,,450000000.000000000,363.000000000,0.511140632,-6.406081943,1.099111828
1777288355.145853,,,,,,145751975.000000000,1777288355.000000000,0.617755651,-7.643590663,1.000000000,,,,,
1777288355.150229,,,,,,150052575.000000000,1777288355.000000000,0.705716435,-8.211967149,1.000000000,,,,,
1777288355.150861,,,,,,,,,,,455000000.000000000,363.000000000,0.598386252,-7.036095662,1.099055593
1777288355.155347,440000000.000000000,363.000000000,0.484182843,-5.167013057,1.000000000,,,,,,,,,,
1777288355.155405,,,,,,155164996.000000000,1777288355.000000000,0.885111762,-8.724164572,1.000000000,,,,,
1777288355.156754,,,,,,,,,,,460000000.000000000,363.000000000,0.685709562,-7.664347220,1.098993907
1777288355.161127,,,,,,161027532.000000000,1777288355.000000000,1.004421853,-9.492190828,1.000000000,,,,,
1777288355.161151,,,,,,,,,,,465000000.000000000,363.000000000,0.773107190,-8.290736080,1.098926822
1777288355.164454,,,,,,164327766.000000000,1777288355.000000000,1.071443132,-9.923321725,1.000000000,,,,,
1777288355.165432,,,,,,,,,,,470000000.000000000,363.000000000,0.860578063,-8.915162702,1.098854373
1777288355.170264,,,,,,,,,,,475000000.000000000,363.000000000,0.948126468,-9.537520080,1.098776584
1777288355.172834,,,,,,172644841.000000000,1777288355.000000000,1.239418808,-11.001918474,1.000000000,,,,,
1777288355.174811,,,,,,,,,,,480000000.000000000,363.000000000,1.035767104,-10.157700027,1.098693488
1777288355.174885,,,,,,174833869.000000000,1777288355.000000000,1.283556400,-11.285208776,1.000000000,,,,,
1777288355.180348,,,,,,180200871.000000000,1777288355.000000000,1.391309292,-11.976120834,1.000000000,,,,,
1777288355.180401,,,,,,,,,,,485000000.000000000,363.000000000,1.123509948,-10.775596504,1.098605108
1777288355.186890,,,,,,186665823.000000000,1777288355.000000000,1.520397440,-12.802846515,1.000000000,,,,,
1777288355.186963,,,,,,,,,,,490000000.000000000,363.000000000,1.211355186,-11.391105545,1.098511453
1777288355.191441,,,,,,,,,,,495000000.000000000,363.000000000,1.299289474,-12.004115843,1.098412541
1777288355.191527,,,,,,191295564.000000000,1777288355.000000000,1.612465119,-13.391909231,1.000000000,,,,,
1777288355.193084,480000000.000000000,363.000000000,1.250651546,-10.256374430,1.000000000,,,,,,,,,,
1777288355.194959,,,,,,194736463.000000000,1777288355.000000000,1.695045174,-13.591486782,1.000000000,,,,,
1777288355.195989,,,,,,,,,,,500000000.000000000,363.000000000,1.387304300,-12.614514152,1.098308397
1777288355.200318,,,,,,200160251.000000000,1777288355.000000000,1.801996350,-14.274337921,1.000000000,,,,,
1777288355.200815,,,,,,,,,,,505000000.000000000,363.000000000,1.475398425,-13.222183303,1.098199057
1777288355.204549,,,,,,204395899.000000000,1777288355.000000000,1.885145364,-14.804876765,1.000000000,,,,,
1777288355.205012,,,,,,,,,,,510000000.000000000,363.000000000,1.563579255,-13.827006606,1.098084559
1777288355.209737,,,,,,,,,,,515000000.000000000,363.000000000,1.651853075,-14.428874101,1.097964923
1777288355.212239,,,,,,212163819.000000000,1777288355.000000000,2.036375617,-15.768492617,1.000000000,,,,,
1777288355.215162,,,,,,,,,,,520000000.000000000,363.000000000,1.740225037,-15.027684019,1.097840142
1777288355.215523,,,,,,215420150.000000000,1777288355.000000000,2.099532885,-16.170717028,1.000000000,,,,,
1777288355.220663,,,,,,220426250.000000000,1777288355.000000000,2.196054058,-16.784901745,1.000000000,,,,,
1777288355.220731,,,,,,,,,,,525000000.000000000,363.000000000,1.828694447,-15.623336381,1.097710189
1777288355.225147,,,,,,,,,,,530000000.000000000,363.000000000,1.917255575,-16.215724003,1.097575044
1777288355.225214,,,,,,225100255.000000000,1777288355.000000000,2.285647849,-17.354604055,1.000000000,,,,,
1777288355.230331,,,,,,,,,,,535000000.000000000,363.000000000,2.005900086,-16.804723103,1.097434734
1777288355.233686,,,,,,233348851.000000000,1777288355.000000000,2.442029107,-18.348055479,1.000000000,,,,,
1777288355.234585,,,,,,234463322.000000000,1777288355.000000000,2.463124571,-18.482051332,1.000000000,,,,,
1777288355.236393,,,,,,,,,,,540000000.000000000,363.000000000,2.094625733,-17.390205496,1.097289325
1777288355.236861,520000000.000000000,363.000000000,2.014526376,-15.040391441,1.000000000,,,,,,,,,,
1777288355.240196,,,,,,,,,,,545000000.000000000,363.000000000,2.183436069,-17.972052648,1.097138864
1777288355.240313,,,,,,240180985.000000000,1777288355.000000000,2.542447304,-18.748182638,1.000000000,,,,,
1777288355.244412,,,,,,244299051.000000000,1777288355.000000000,2.619286118,-19.235440445,1.000000000,,,,,
1777288355.245070,,,,,,,,,,,550000000.000000000,363.000000000,2.272337212,-18.550150804,1.096983376
1777288355.251113,,,,,,,,,,,555000000.000000000,363.000000000,2.361324382,-19.124402217,1.096822839
1777288355.253404,,,,,,253203724.000000000,1777288355.000000000,2.783275437,-20.274032538,1.000000000,,,,,
1777288355.255291,,,,,,255201301.000000000,1777288355.000000000,2.819946526,-20.506229128,1.000000000,,,,,
1777288355.255320,,,,,,,,,,,560000000.000000000,363.000000000,2.450384621,-19.694706200,1.096657213
1777288355.261844,,,,,,261620668.000000000,1777288355.000000000,2.936566874,-21.244172527,1.000000000,,,,,
1777288355.261896,,,,,,,,,,,565000000.000000000,363.000000000,2.539498738,-20.260947236,1.096486509
1777288355.265423,,,,,,,,,,,570000000.000000000,363.000000000,2.628653115,-20.822991867,1.096310818
1777288355.265498,,,,,,265365670.000000000,1777288355.000000000,3.004174098,-21.671801970,1.000000000,,,,,
1777288355.271949,,,,,,,,,,,575000000.000000000,363.000000000,2.717839982,-21.380710097,1.096130250
1777288355.273396,,,,,,273189024.000000000,1777288355.000000000,3.143510948,-22.552359840,1.000000000,,,,,
1777288355.274411,560000000.000000000,363.000000000,2.571596446,-19.631112349,1.000000000,,,,,,,,,,
1777288355.275915,,,,,,,,,,,580000000.000000000,363.000000000,2.807059081,-21.933979313,1.095944889
1777288355.275944,,,,,,275862716.000000000,1777288355.000000000,3.104565488,-22.583538117,1.000000000,,,,,
1777288355.279974,,,,,,279887887.000000000,1777288355.000000000,3.175324354,-23.030542605,1.000000000,,,,,
1777288355.280003,,,,,,,,,,,585000000.000000000,363.000000000,2.896304933,-22.482693552,1.095754761
1777288355.287032,,,,,,286808839.000000000,1777288355.000000000,3.295469946,-23.788663049,1.000000000,,,,,
1777288355.287100,,,,,,,,,,,590000000.000000000,363.000000000,2.985570257,-23.026756799,1.095559836
1777288355.289670,,,,,,,,,,,595000000.000000000,363.000000000,3.074840293,-23.566075441,1.095360066
1777288355.289731,,,,,,289635509.000000000,1777288355.000000000,3.344276937,-24.096500874,1.000000000,,,,,
1777288355.294345,,,,,,294252486.000000000,1777288355.000000000,3.423281350,-24.594469183,1.000000000,,,,,
1777288355.294970,,,,,,,,,,,600000000.000000000,363.000000000,3.164096948,-24.100531673,1.095155478
1777288355.301162,,,,,,300993249.000000000,1777288355.000000000,3.537081484,-25.311039745,1.000000000,,,,,
1777288355.301214,,,,,,,,,,,605000000.000000000,363.000000000,3.253325659,-24.629990797,1.094946209
1777288355.307942,,,,,,,,,,,610000000.000000000,363.000000000,3.342516309,-25.154316753,1.094732435
1777288355.308062,,,,,,307750883.000000000,1777288355.000000000,3.649554872,-26.018659515,1.000000000,,,,,
1777288355.311835,,,,,,,,,,,615000000.000000000,363.000000000,3.431661155,-25.673398924,1.094514250
1777288355.314111,,,,,,313920077.000000000,1777288355.000000000,3.750860709,-26.655490337,1.000000000,,,,,
1777288355.315218,600000000.000000000,363.000000000,3.371467874,-24.099868765,1.000000000,,,,,,,,,,
1777288355.316239,,,,,,316073077.000000000,1777288355.000000000,3.765648350,-26.680074478,1.000000000,,,,,
1777288355.316262,,,,,,,,,,,620000000.000000000,363.000000000,3.520738565,-26.187140164,1.094291666
1777288355.321792,,,,,,,,,,,625000000.000000000,363.000000000,3.609720824,-26.695448434,1.094064664
1777288355.321878,,,,,,321536390.000000000,1777288355.000000000,3.853810199,-27.233562738,1.000000000,,,,,
1777288355.325021,,,,,,324929700.000000000,1777288355.000000000,3.908135093,-27.574461322,1.000000000,,,,,
1777288355.325049,,,,,,,,,,,630000000.000000000,363.000000000,3.698581271,-27.198222055,1.093833258
1777288355.329994,,,,,,,,,,,635000000.000000000,363.000000000,3.787295397,-27.695347897,1.093597527
1777288355.333045,,,,,,332843223.000000000,1777288355.000000000,4.032458381,-28.353702004,1.000000000,,,,,
1777288355.335750,,,,,,335610151.000000000,1777288355.000000000,4.075630627,-28.624185726,1.000000000,,,,,
1777288355.335797,,,,,,,,,,,640000000.000000000,363.000000000,3.875847119,-28.186696863,1.093357643
1777288355.340325,,,,,,,,,,,645000000.000000000,363.000000000,3.964218535,-28.672143026,1.093113807
1777288355.340389,,,,,,340251565.000000000,1777288355.000000000,4.147195590,-29.072308730,1.000000000,,,,,
1777288355.344978,,,,,,,,,,,650000000.000000000,363.000000000,4.052386734,-29.151577149,1.092866158
1777288355.345037,,,,,,344960655.000000000,1777288355.000000000,4.218910226,-29.521136623,1.000000000,,,,,
1777288355.350387,,,,,,350215605.000000000,1777288355.000000000,4.297811637,-30.014642029,1.000000000,,,,,
1777288355.350962,,,,,,,,,,,655000000.000000000,363.000000000,4.140334024,-29.624909800,1.092614722
1777288355.352883,640000000.000000000,363.000000000,4.169103632,-28.195674157,1.000000000,,,,,,,,,,
1777288355.355428,,,,,,355126787.000000000,1777288355.000000000,4.439259131,-30.493084004,1.000000000,,,,,
1777288355.357044,,,,,,,,,,,660000000.000000000,363.000000000,4.228036568,-30.092051097,1.092359493
1777288355.360079,,,,,,359972576.000000000,1777288355.000000000,4.510103943,-30.935338283,1.000000000,,,,,
1777288355.360108,,,,,,,,,,,665000000.000000000,363.000000000,4.315466097,-30.552893540,1.092100561
1777288355.366139,,,,,,366015682.000000000,1777288355.000000000,4.596874630,-31.476759389,1.000000000,,,,,
1777288355.366172,,,,,,,,,,,670000000.000000000,363.000000000,4.402593196,-31.007326259,1.091838066
1777288355.370412,,,,,,,,,,,675000000.000000000,363.000000000,4.489387728,-31.455239763,1.091572173
1777288355.372648,,,,,,372491665.000000000,1777288355.000000000,4.688028858,-32.045204891,1.000000000,,,,,
1777288355.374943,,,,,,,,,,,680000000.000000000,363.000000000,4.575814542,-31.896527571,1.091303034
1777288355.374983,,,,,,374926076.000000000,1777288355.000000000,4.722030576,-32.257204578,1.000000000,,,,,
1777288355.380044,,,,,,379941785.000000000,1777288355.000000000,4.790955235,-32.686795382,1.000000000,,,,,
1777288355.380076,,,,,,,,,,,685000000.000000000,363.000000000,4.661830854,-32.331091161,1.091030779
1777288355.386335,,,,,,,,,,,690000000.000000000,363.000000000,4.747394656,-32.758841059,1.090755490
1777288355.386414,,,,,,386145885.000000000,1777288355.000000000,4.874449365,-33.207034210,1.000000000,,,,,
1777288355.391021,,,,,,390838054.000000000,1777288355.000000000,4.936567353,-33.594037783,1.000000000,,,,,
1777288355.391073,,,,,,,,,,,695000000.000000000,363.000000000,4.832468513,-33.179688176,1.090477238
1777288355.394212,680000000.000000000,363.000000000,4.724760349,-31.891028226,1.000000000,,,,,,,,,,
1777288355.394610,,,,,,394467008.000000000,1777288355.000000000,5.005193454,-33.868059923,1.000000000,,,,,
1777288355.395913,,,,,,,,,,,700000000.000000000,363.000000000,4.917015841,-33.593539326,1.090196112
1777288355.400073,,,,,,399866140.000000000,1777288355.000000000,5.074387607,-34.298854498,1.000000000,,,,,
1777288355.401537,,,,,,,,,,,705000000.000000000,363.000000000,5.001001996,-34.000295708,1.089912256
1777288355.404745,,,,,,404567145.000000000,1777288355.000000000,5.133573976,-34.667281216,1.000000000,,,,,
1777288355.405475,,,,,,,,,,,710000000.000000000,363.000000000,5.084388855,-34.399858082,1.089625845
1777288355.410173,,,,,,,,,,,715000000.000000000,363.000000000,5.167140306,-34.792134661,1.089337024
1777288355.412496,,,,,,412327841.000000000,1777288355.000000000,5.228359499,-35.257216270,1.000000000,,,,,
1777288355.415218,,,,,,415095811.000000000,1777288355.000000000,5.261787771,-35.465265240,1.000000000,,,,,
1777288355.415248,,,,,,,,,,,720000000.000000000,363.000000000,5.249210828,-35.177033476,1.089045940
1777288355.420753,,,,,,,,,,,725000000.000000000,363.000000000,5.330551391,-35.554461160,1.088752769
1777288355.420830,,,,,,420592667.000000000,1777288355.000000000,5.326663988,-35.869071147,1.000000000,,,,,
1777288355.425141,,,,,,424997263.000000000,1777288355.000000000,5.377670149,-36.186577479,1.000000000,,,,,
1777288355.425186,,,,,,,,,,,730000000.000000000,363.000000000,5.411119917,-35.924325305,1.088457707
1777288355.430543,,,,,,,,,,,735000000.000000000,363.000000000,5.490871922,-36.286538514,1.088160929
1777288355.433436,,,,,,433273421.000000000,1777288355.000000000,5.470022686,-36.761631641,1.000000000,,,,,
1777288355.434515,,,,,,434365010.000000000,1777288355.000000000,5.482142116,-36.837098976,1.000000000,,,,,
1777288355.436654,,,,,,,,,,,740000000.000000000,363.000000000,5.569757933,-36.641012662,1.087862619
1777288355.437245,720000000.000000000,363.000000000,5.509263330,-35.297081334,1.000000000,,,,,,,,,,
1777288355.441111,,,,,,,,,,,745000000.000000000,363.000000000,5.647727715,-36.987659285,1.087562987
1777288355.441179,,,,,,441022635.000000000,1777288355.000000000,5.653565209,-37.220204652,1.000000000,,,,,
1777288355.444395,,,,,,444289596.000000000,1777288355.000000000,5.688206638,-37.435635900,1.000000000,,,,,
1777288355.445014,,,,,,,,,,,750000000.000000000,363.000000000,5.724735510,-37.326391873,1.087262248
1777288355.451067,,,,,,,,,,,755000000.000000000,363.000000000,5.800734895,-37.657126962,1.086960609
1777288355.453617,,,,,,453404596.000000000,1777288355.000000000,5.780420662,-38.009802349,1.000000000,,,,,
1777288355.455173,,,,,,455080556.000000000,1777288355.000000000,5.797224525,-38.114452234,1.000000000,,,,,
1777288355.455304,,,,,,,,,,,760000000.000000000,363.000000000,5.875675758,-37.979781952,1.086658280
1777288355.460171,,,,,,,,,,,765000000.000000000,363.000000000,5.949508503,-38.294273907,1.086355493
1777288355.460219,,,,,,460118397.000000000,1777288355.000000000,5.846358399,-38.420677787,1.000000000,,,,,
1777288355.466187,,,,,,,,,,,770000000.000000000,363.000000000,6.022183489,-38.600522794,1.086052481
1777288355.466372,,,,,,466271491.000000000,1777288355.000000000,5.904270823,-38.782163767,1.000000000,,,,,
1777288355.471840,,,,,,,,,,,775000000.000000000,363.000000000,6.093645881,-38.898451378,1.085749476
1777288355.473361,760000000.000000000,363.000000000,6.232423737,-38.058090817,1.000000000,,,,,,,,,,
1777288355.473683,,,,,,473522034.000000000,1777288355.000000000,6.176456589,-39.371198026,1.000000000,,,,,
1777288355.475916,,,,,,475778460.000000000,1777288355.000000000,6.196585611,-39.496658859,1.000000000,,,,,
1777288355.475942,,,,,,,,,,,780000000.000000000,363.000000000,6.163837961,-39.187982189,1.085446720
1777288355.481234,,,,,,,,,,,785000000.000000000,363.000000000,6.232702949,-39.469036114,1.085144495
1777288355.481299,,,,,,481215744.000000000,1777288355.000000000,6.243371968,-39.788956671,1.000000000,,,,,
1777288355.487054,,,,,,486856762.000000000,1777288355.000000000,6.290060774,-40.081344386,1.000000000,,,,,
1777288355.487147,,,,,,,,,,,790000000.000000000,363.000000000,6.300186114,-39.741538379,1.084843082
1777288355.490119,,,,,,,,,,,795000000.000000000,363.000000000,6.366236608,-40.005420999,1.084542720
1777288355.492322,,,,,,492239062.000000000,1777288355.000000000,6.332903282,-40.350357185,1.000000000,,,,,
1777288355.494758,,,,,,,,,,,800000000.000000000,363.000000000,6.430804707,-40.260616586,1.084243633
1777288355.494877,,,,,,494777600.000000000,1777288355.000000000,6.352727124,-40.475005401,1.000000000,,,,,
1777288355.501038,,,,,,500888955.000000000,1777288355.000000000,6.398230137,-40.762131416,1.000000000,,,,,
1777288355.501100,,,,,,,,,,,805000000.000000000,363.000000000,6.493837977,-40.507054826,1.083946091
1777288355.506146,,,,,,505981248.000000000,1777288355.000000000,6.434585447,-40.992334019,1.000000000,,,,,
1777288355.506196,,,,,,,,,,,810000000.000000000,363.000000000,6.555288130,-40.744663250,1.083650408
1777288355.510374,,,,,,,,,,,815000000.000000000,363.000000000,6.615104861,-40.973370097,1.083356927
1777288355.513010,,,,,,512853438.000000000,1777288355.000000000,6.480788916,-41.286426786,1.000000000,,,,,
1777288355.513948,800000000.000000000,363.000000000,6.668429659,-40.382466754,1.000000000,,,,,,,,,,
1777288355.515814,,,,,,515633531.000000000,1777288355.000000000,6.627933046,-41.383429489,1.000000000,,,,,
1777288355.515852,,,,,,,,,,,820000000.000000000,363.000000000,6.673233432,-41.193105468,1.083065996
1777288355.521950,,,,,,521694872.000000000,1777288355.000000000,6.665553404,-41.623823124,1.000000000,,,,,
1777288355.522034,,,,,,,,,,,825000000.000000000,363.000000000,6.729618838,-41.403805019,1.082777947
1777288355.526232,,,,,,526036940.000000000,1777288355.000000000,6.691317221,-41.789314557,1.000000000,,,,,
1777288355.526268,,,,,,,,,,,830000000.000000000,363.000000000,6.784205646,-41.605413690,1.082493051
1777288355.530823,,,,,,,,,,,835000000.000000000,363.000000000,6.836940496,-41.797880520,1.082211539
1777288355.534156,,,,,,533795933.000000000,1777288355.000000000,6.733550975,-42.063513531,1.000000000,,,,,
1777288355.535866,,,,,,535721013.000000000,1777288355.000000000,6.743795462,-42.130211296,1.000000000,,,,,
1777288355.535984,,,,,,,,,,,840000000.000000000,363.000000000,6.887770947,-41.981152806,1.081933653
1777288355.540639,,,,,,540407832.000000000,1777288355.000000000,6.767347678,-42.284671566,1.000000000,,,,,
1777288355.540725,,,,,,,,,,,845000000.000000000,363.000000000,6.936649546,-42.155169241,1.081659730
1777288355.545234,,,,,,,,,,,850000000.000000000,363.000000000,6.983526820,-42.319864770,1.081390204
1777288355.545297,,,,,,545168460.000000000,1777288355.000000000,6.789824400,-42.433362909,1.000000000,,,,,
1777288355.550003,,,,,,549806867.000000000,1777288355.000000000,6.810346815,-42.570427503,1.000000000,,,,,
1777288355.550635,,,,,,,,,,,855000000.000000000,363.000000000,7.028354090,-42.475179351,1.081125509
1777288355.554687,840000000.000000000,363.000000000,7.221866846,-41.972156784,1.000000000,,,,,,,,,,
1777288355.554987,,,,,,554860047.000000000,1777288355.000000000,7.031279027,-42.707539219,1.000000000,,,,,
1777288355.556435,,,,,,,,,,,860000000.000000000,363.000000000,7.071080684,-42.621060340,1.080866029
1777288355.560058,,,,,,,,,,,865000000.000000000,363.000000000,7.111654724,-42.757463777,1.080612083
1777288355.560100,,,,,,560011081.000000000,1777288355.000000000,7.050865447,-42.840576980,1.000000000,,,,,
1777288355.565072,,,,,,564636714.000000000,1777288355.000000000,7.067036474,-42.952205987,1.000000000,,,,,
1777288355.566197,,,,,,,,,,,870000000.000000000,363.000000000,7.150028689,-42.884353907,1.080363918
1777288355.570697,,,,,,,,,,,875000000.000000000,363.000000000,7.186163362,-43.001692788,1.080121788
1777288355.573052,,,,,,572859331.000000000,1777288355.000000000,7.091284581,-43.125707321,1.000000000,,,,,
1777288355.575744,,,,,,,,,,,880000000.000000000,363.000000000,7.220027544,-43.109435571,1.079886021
1777288355.575861,,,,,,575780971.000000000,1777288355.000000000,7.099333728,-43.184196533,1.000000000,,,,,
1777288355.580737,,,,,,,,,,,885000000.000000000,363.000000000,7.251590177,-43.207531657,1.079657041
1777288355.580814,,,,,,580656305.000000000,1777288355.000000000,7.111184366,-43.272992556,1.000000000,,,,,
1777288355.587088,,,,,,,,,,,890000000.000000000,363.000000000,7.280820150,-43.295932497,1.079435308
1777288355.587163,,,,,,586964421.000000000,1777288355.000000000,7.123841384,-43.373100447,1.000000000,,,,,
1777288355.591219,,,,,,,,,,,895000000.000000000,363.000000000,7.307681918,-43.374598296,1.079221223
1777288355.592896,,,,,,592789196.000000000,1777288355.000000000,7.133255104,-43.452893731,1.000000000,,,,,
1777288355.593264,880000000.000000000,363.000000000,7.473485137,-43.238465525,1.000000000,,,,,,,,,,
1777288355.595222,,,,,,595104472.000000000,1777288355.000000000,7.285738480,-43.506441160,1.000000000,,,,,
1777288355.595248,,,,,,,,,,,900000000.000000000,363.000000000,7.332137379,-43.443498696,1.079015108
1777288355.601254,,,,,,601042130.000000000,1777288355.000000000,7.292206928,-43.569474147,1.000000000,,,,,
1777288355.601308,,,,,,,,,,,905000000.000000000,363.000000000,7.354154433,-43.502605611,1.078817265
1777288355.605781,,,,,,605638598.000000000,1777288355.000000000,7.295763707,-43.610341248,1.000000000,,,,,
1777288355.605809,,,,,,,,,,,910000000.000000000,363.000000000,7.373706966,-43.551891333,1.078628005
1777288355.610481,,,,,,,,,,,915000000.000000000,363.000000000,7.390773864,-43.591323930,1.078447680
1777288355.612990,,,,,,612884573.000000000,1777288355.000000000,7.297724005,-43.654990568,1.000000000,,,,,
1777288355.615454,,,,,,,,,,,920000000.000000000,363.000000000,7.405338958,-43.620871023,1.078276673
