__time,/fmu/out/vehicle_odometry/angular_velocity[0],/fmu/out/vehicle_odometry/angular_velocity[1],/fmu/out/vehicle_odometry/angular_velocity[2],/fmu/out/vehicle_odometry/orientation_variance[0],/fmu/out/vehicle_odometry/orientation_variance[1],/fmu/out/vehicle_odometry/orientation_variance[2],/fmu/out/vehicle_odometry/pose_frame,/fmu/out/vehicle_odometry/position[0],/fmu/out/vehicle_odometry/position[1],/fmu/out/vehicle_odometry/position[2],/fmu/out/vehicle_odometry/position_variance[0],/fmu/out/vehicle_odometry/position_variance[1],/fmu/out/vehicle_odometry/position_variance[2],/fmu/out/vehicle_odometry/q[0],/fmu/out/vehicle_odometry/q[1],/fmu/out/vehicle_odometry/q[2],/fmu/out/vehicle_odometry/q[3],/fmu/out/vehicle_odometry/quality,/fmu/out/vehicle_odometry/reset_counter,/fmu/out/vehicle_odometry/timestamp,/fmu/out/vehicle_odometry/timestamp_sample,/fmu/out/vehicle_odometry/velocity[0],/fmu/out/vehicle_odometry/velocity[1],/fmu/out/vehicle_odometry/velocity[2],/fmu/out/vehicle_odometry/velocity_frame,/fmu/out/vehicle_odometry/velocity_variance[0],/fmu/out/vehicle_odometry/velocity_variance[1],/fmu/out/vehicle_odometry/velocity_variance[2],/uav/target_position/x,/uav/target_position/y,/uav/target_position/z
1777391624.891585,0.010675197,-0.105692349,-0.009874299,0.000020758,0.000018627,0.000065247,1.000000000,-7.602813244,-0.644128561,-9.991243362,0.011430675,0.011424295,0.026096888,0.772649944,-0.032410104,-0.039544642,0.632770002,0.000000000,14.000000000,1777391624887467.000000000,1777391624884967.000000000,0.297891110,-2.058732986,0.006069817,1.000000000,0.003100848,0.003147901,0.002064684,,,
1777391624.894455,0.010956631,-0.106177755,-0.009946835,0.000020771,0.000018635,0.000065268,1.000000000,-7.602090836,-0.648856819,-9.991265297,0.011468534,0.011462265,0.026142932,0.772653282,-0.032312203,-0.039640941,0.632764935,0.000000000,14.000000000,1777391624892467.000000000,1777391624887467.000000000,0.300308645,-2.058022261,0.006074389,1.000000000,0.003112242,0.003160159,0.002067996,,,
1777391624.899590,0.009932978,-0.105032273,-0.009667653,0.000020738,0.000018586,0.000065233,1.000000000,-7.599874020,-0.663412154,-9.991301537,0.011277366,0.011270917,0.025884992,0.772662401,-0.032024179,-0.039927252,0.632750392,0.000000000,14.000000000,1777391624899967.000000000,1777391624894967.000000000,0.307558656,-2.056024551,0.006134214,1.000000000,0.003051775,0.003099022,0.002051815,,,
1777391624.904433,0.009902544,-0.103085928,-0.009738715,0.000020751,0.000018594,0.000065255,1.000000000,-7.598348141,-0.673224211,-9.991316795,0.011314444,0.011308104,0.025930561,0.772668302,-0.031838175,-0.040113427,0.632740736,0.000000000,14.000000000,1777391624904967.000000000,1777391624899967.000000000,0.312418133,-2.054779530,0.006161445,1.000000000,0.003063034,0.003111142,0.002055123,,,
1777391624.909529,0.010779007,-0.102320470,-0.010436334,0.000020756,0.000018597,0.000065264,1.000000000,-7.596805096,-0.683067262,-9.991325378,0.011333057,0.011326772,0.025953386,0.772675514,-0.031651478,-0.040296894,0.632729769,0.000000000,14.000000000,1777391624907467.000000000,1777391624904967.000000000,0.317278296,-2.053527832,0.006205901,1.000000000,0.003067909,0.003116447,0.002056011,,,
1777391624.912102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.520581752,-3.960483429,-9.985322952
1777391624.914545,0.011524174,-0.101414278,-0.010348144,0.000020774,0.000018604,0.000065131,1.000000000,-7.594460487,-0.697613120,-9.991357803,0.011389092,0.011382785,0.026022017,0.772686243,-0.031369679,-0.040569566,0.632713377,0.000000000,14.000000000,1777391624914967.000000000,1777391624912467.000000000,0.324556649,-2.051458359,0.006233340,1.000000000,0.003083967,0.003133346,0.002060208,,,
1777391624.920108,0.011631456,-0.102274098,-0.009840152,0.000020787,0.000018612,0.000065152,1.000000000,-7.593677521,-0.702319264,-9.991382599,0.011426726,0.011420540,0.026067901,0.772689521,-0.031274188,-0.040661518,0.632708013,0.000000000,14.000000000,1777391624919967.000000000,1777391624914967.000000000,0.326968551,-2.050676107,0.006237520,1.000000000,0.003095309,0.003145550,0.002063518,,,
1777391624.924691,0.011397720,-0.101892918,-0.009722413,0.000020800,0.000018620,0.000065173,1.000000000,-7.592056274,-0.712125719,-9.991394043,0.011464548,0.011458486,0.026113890,0.772695780,-0.031087365,-0.040842917,0.632697940,0.000000000,14.000000000,1777391624924967.000000000,1777391624919967.000000000,0.331799597,-2.049345970,0.006330506,1.000000000,0.003106678,0.003157785,0.002066828,,,
1777391624.931591,0.012063223,-0.100072920,-0.010030278,0.000020754,0.000018563,0.000065119,1.000000000,-7.590420723,-0.721919239,-9.991409302,0.011236744,0.011230339,0.025865188,0.772702694,-0.030901980,-0.041019853,0.632687151,0.000000000,14.000000000,1777391624927467.000000000,1777391624924967.000000000,0.336660057,-2.048013926,0.006409640,1.000000000,0.003035211,0.003084667,0.002049039,,,
