__time,/uav/cv/swing_angle/world_frame/cartesian/header/stamp/nanosec,/uav/cv/swing_angle/world_frame/cartesian/header/stamp/sec,/uav/cv/swing_angle/world_frame/cartesian/vector/x,/uav/cv/swing_angle/world_frame/cartesian/vector/y,/uav/cv/swing_angle/world_frame/cartesian/vector/z,/uav/cv_comp/swing_angle/world_frame/cartesian/header/stamp/nanosec,/uav/cv_comp/swing_angle/world_frame/cartesian/header/stamp/sec,/uav/cv_comp/swing_angle/world_frame/cartesian/vector/x,/uav/cv_comp/swing_angle/world_frame/cartesian/vector/y,/uav/cv_comp/swing_angle/world_frame/cartesian/vector/z,/uav/truth/swing_angle/world_frame/cartesian/header/stamp/nanosec,/uav/truth/swing_angle/world_frame/cartesian/header/stamp/sec,/uav/truth/swing_angle/world_frame/cartesian/vector/x,/uav/truth/swing_angle/world_frame/cartesian/vector/y,/uav/truth/swing_angle/world_frame/cartesian/vector/z
1777457292.200667,,,,,,200615485.000000000,1777457292.000000000,-0.936454577,6.617587462,1.000000000,,,,,
1777457292.203199,,,,,,,,,,,25000000.000000000,285.000000000,-0.499334293,4.458609034,1.099271618
1777457292.208116,,,,,,,,,,,30000000.000000000,285.000000000,-0.517215877,5.090116466,1.099232979
1777457292.208190,,,,,,208133316.000000000,1777457292.000000000,-0.978570788,7.588600240,1.000000000,,,,,
1777457292.210787,,,,,,210726705.000000000,1777457292.000000000,-0.993035580,7.922940925,1.000000000,,,,,
1777457292.213275,,,,,,,,,,,35000000.000000000,285.000000000,-0.535032282,5.720195611,1.099188760
1777457292.215674,,,,,,215620317.000000000,1777457292.000000000,-1.020088481,8.551547803,1.000000000,,,,,
1777457292.218214,,,,,,,,,,,40000000.000000000,285.000000000,-0.552796775,6.348743725,1.099139056
1777457292.223093,,,,,,222967314.000000000,1777457292.000000000,-1.060144073,9.489829149,1.000000000,,,,,
1777457292.223689,,,,,,,,,,,45000000.000000000,285.000000000,-0.570520525,6.975672414,1.099083917
1777457292.228290,,,,,,,,,,,50000000.000000000,285.000000000,-0.588205245,7.600895201,1.099023361
1777457292.228538,,,,,,228461636.000000000,1777457292.000000000,-0.883321110,10.104623880,1.000000000,,,,,
1777457292.231022,,,,,,230924608.000000000,1777457292.000000000,-0.896458429,10.416941888,1.000000000,,,,,
1777457292.233267,,,,,,,,,,,55000000.000000000,285.000000000,-0.605835892,8.224293984,1.098957416
1777457292.236067,,,,,,235987872.000000000,1777457292.000000000,-0.923252401,11.055970270,1.000000000,,,,,
1777457292.238156,,,,,,,,,,,60000000.000000000,285.000000000,-0.623395134,8.845743114,1.098886140
1777457292.242895,,,,,,242831824.000000000,1777457292.000000000,-0.959070855,11.913932722,1.000000000,,,,,
1777457292.243210,,,,,,,,,,,65000000.000000000,285.000000000,-0.640883213,9.465109743,1.098809611
1777457292.248204,,,,,,,,,,,70000000.000000000,285.000000000,-0.658319851,10.082273604,1.098727901
