__time,/fmu/out/vehicle_odometry/angular_velocity[0],/fmu/out/vehicle_odometry/angular_velocity[1],/fmu/out/vehicle_odometry/angular_velocity[2],/fmu/out/vehicle_odometry/orientation_variance[0],/fmu/out/vehicle_odometry/orientation_variance[1],/fmu/out/vehicle_odometry/orientation_variance[2],/fmu/out/vehicle_odometry/pose_frame,/fmu/out/vehicle_odometry/position[0],/fmu/out/vehicle_odometry/position[1],/fmu/out/vehicle_odometry/position[2],/fmu/out/vehicle_odometry/position_variance[0],/fmu/out/vehicle_odometry/position_variance[1],/fmu/out/vehicle_odometry/position_variance[2],/fmu/out/vehicle_odometry/q[0],/fmu/out/vehicle_odometry/q[1],/fmu/out/vehicle_odometry/q[2],/fmu/out/vehicle_odometry/q[3],/fmu/out/vehicle_odometry/quality,/fmu/out/vehicle_odometry/reset_counter,/fmu/out/vehicle_odometry/timestamp,/fmu/out/vehicle_odometry/timestamp_sample,/fmu/out/vehicle_odometry/velocity[0],/fmu/out/vehicle_odometry/velocity[1],/fmu/out/vehicle_odometry/velocity[2],/fmu/out/vehicle_odometry/velocity_frame,/fmu/out/vehicle_odometry/velocity_variance[0],/fmu/out/vehicle_odometry/velocity_variance[1],/fmu/out/vehicle_odometry/velocity_variance[2],/model/payload_ball/pose/header/header/stamp,/model/payload_ball/pose/pose/orientation/pitch,/model/payload_ball/pose/pose/orientation/roll,/model/payload_ball/pose/pose/orientation/w,/model/payload_ball/pose/pose/orientation/x,/model/payload_ball/pose/pose/orientation/y,/model/payload_ball/pose/pose/orientation/yaw,/model/payload_ball/pose/pose/orientation/z,/model/payload_ball/pose/pose/position/x,/model/payload_ball/pose/pose/position/y,/model/payload_ball/pose/pose/position/z,/uav/target_position/x,/uav/target_position/y,/uav/target_position/z
1777445871.278960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.315000000,1.255063191,-0.117139220,0.808817091,-0.024446123,0.587545427,-0.078163057,0.002769749,3.830865796,-5.582409046,10.104468623,,,
1777445871.281533,-0.014609712,0.010414021,0.001669082,0.000025242,0.000016325,0.000425580,1.000000000,-5.699675083,3.741935253,-9.988830566,0.011408472,0.011348996,0.026348718,0.707193077,-0.022379486,0.018755393,0.706417322,0.000000000,14.000000000,1777445871238849.000000000,1777445871238849.000000000,-1.082539082,-0.081164755,-0.007120179,1.000000000,0.003511968,0.003060298,0.002118666,,,,,,,,,,,,,,
1777445871.284052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.320000000,1.255055749,-0.117126054,0.808819412,-0.024443697,0.587542336,-0.078154027,0.002769272,3.830861770,-5.587875375,10.104418422,,,
1777445871.284240,-0.013412302,0.009734359,0.000098806,0.000025255,0.000016334,0.000425612,1.000000000,-5.702388287,3.741798639,-9.988819122,0.011447562,0.011386361,0.026396118,0.707195938,-0.022399822,0.018752012,0.706413865,0.000000000,14.000000000,1777445871241349.000000000,1777445871241349.000000000,-1.082002640,-0.082743451,-0.007137458,1.000000000,0.003526591,0.003072172,0.002122151,,,,,,,,,,,,,,
1777445871.290406,-0.014206917,0.009565007,0.001067473,0.000025267,0.000016343,0.000425644,1.000000000,-5.707807541,3.741446018,-9.988824844,0.011486868,0.011423914,0.026443629,0.707196176,-0.022441680,0.018743763,0.706412554,0.000000000,14.000000000,1777445871246349.000000000,1777445871246349.000000000,-1.080935001,-0.085925788,-0.007132542,1.000000000,0.003541260,0.003084080,0.002125636,,,,,,,,,,,,,,
1777445871.290435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.325000000,1.255047922,-0.117117156,0.808821799,-0.024441704,0.587539137,-0.078149438,0.002768239,3.830842273,-5.593336490,10.104368316,,,
1777445871.294280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.330000000,1.255039722,-0.117112556,0.808824249,-0.024440149,0.587535837,-0.078149317,0.002766648,3.830807304,-5.598792390,10.104318285,,,
1777445871.294315,-0.014640989,0.009529342,0.001771709,0.000025272,0.000016346,0.000425659,1.000000000,-5.713226318,3.741075277,-9.988836288,0.011506609,0.011442765,0.026467426,0.707195222,-0.022484206,0.018734721,0.706412315,0.000000000,14.000000000,1777445871251349.000000000,1777445871251349.000000000,-1.079860210,-0.089087993,-0.007110733,1.000000000,0.003547855,0.003089277,0.002126614,,,,,,,,,,,,,,
1777445871.299006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.335000000,1.255031139,-0.117112235,0.808826764,-0.024439040,0.587532430,-0.078153614,0.002764515,3.830756862,-5.604243075,10.104268309,,,
1777445871.299417,-0.014923857,0.008735236,0.000849159,0.000025194,0.000016300,0.000424234,1.000000000,-5.715933323,3.740926027,-9.988822937,0.011289966,0.011234230,0.026233166,0.707197428,-0.022504983,0.018729160,0.706409633,0.000000000,14.000000000,1777445871253849.000000000,1777445871253849.000000000,-1.079307318,-0.090646058,-0.007109689,1.000000000,0.003466455,0.003025225,0.002110481,,,,,,,,,,,,,,
1777445871.300422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.515909011,2.595113162,-9.995555878
1777445871.303683,-0.015603891,0.008823910,0.000506094,0.000025197,0.000016302,0.000423891,1.000000000,-5.721345425,3.740537167,-9.988832474,0.011308994,0.011252563,0.026256705,0.707198381,-0.022547953,0.018717054,0.706407607,0.000000000,14.000000000,1777445871258849.000000000,1777445871258849.000000000,-1.078238130,-0.093807295,-0.007118103,1.000000000,0.003472467,0.003030262,0.002111454,,,,,,,,,,,,,,
1777445871.304024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.340000000,1.255022153,-0.117116133,0.808829351,-0.024438377,0.587528908,-0.078162246,0.002761854,3.830690945,-5.609688542,10.104218381,,,
1777445871.308967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.345000000,1.255012726,-0.117124151,0.808832023,-0.024438155,0.587525255,-0.078175096,0.002758681,3.830609551,-5.615128791,10.104168512,,,
1777445871.309139,-0.013591963,0.006919881,0.000705272,0.000025222,0.000016320,0.000423954,1.000000000,-5.729447365,3.739963055,-9.988828659,0.011386295,0.011326503,0.026351148,0.707203448,-0.022604512,0.018699469,0.706401289,0.000000000,14.000000000,1777445871266349.000000000,1777445871266349.000000000,-1.076605439,-0.098521672,-0.007151779,1.000000000,0.003501430,0.003053874,0.002118415,,,,,,,,,,,,,,
1777445871.314045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.350000000,1.255002810,-0.117136145,0.808834794,-0.024438365,0.587521448,-0.078192006,0.002755018,3.830512675,-5.620563818,10.104118722,,,
1777445871.314178,-0.013167515,0.007480321,0.000621022,0.000025227,0.000016323,0.000423968,1.000000000,-5.734845161,3.739533901,-9.988838196,0.011405759,0.011345109,0.026374828,0.707205474,-0.022640822,0.018689312,0.706398368,0.000000000,14.000000000,1777445871271349.000000000,1777445871271349.000000000,-1.075522065,-0.101711459,-0.007164590,1.000000000,0.003507932,0.003059031,0.002119391,,,,,,,,,,,,,,
1777445871.318912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.355000000,1.254992346,-0.117151973,0.808837684,-0.024439001,0.587517462,-0.078212806,0.002750888,3.830400314,-5.625993623,10.104068993,,,
1777445871.320438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.526893424,2.570654319,-9.995555878
1777445871.321613,-0.013015856,0.007340005,0.001944976,0.000025244,0.000016335,0.000424014,1.000000000,-5.742932320,3.738894939,-9.988828659,0.011464462,0.011401200,0.026389576,0.707207203,-0.022694627,0.018674470,0.706395268,0.000000000,14.000000000,1777445871278849.000000000,1777445871278849.000000000,-1.073873520,-0.106476426,-0.007171025,1.000000000,0.003529078,0.003076071,0.002122025,,,,,,,,,,,,,,
1777445871.324078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.360000000,1.254981268,-0.117171482,0.808840713,-0.024440047,0.587513270,-0.078237346,0.002746305,3.830272465,-5.631418204,10.104019327,,,
1777445871.324346,-0.013210042,0.007271572,0.001307107,0.000025257,0.000016344,0.000424045,1.000000000,-5.745625019,3.738697052,-9.988807678,0.011503864,0.011438825,0.026437083,0.707209587,-0.022712559,0.018669123,0.706392467,0.000000000,14.000000000,1777445871281349.000000000,1777445871281349.000000000,-1.073322296,-0.108059473,-0.007163558,1.000000000,0.003543728,0.003087994,0.002125509,,,,,,,,,,,,,,
1777445871.329019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.365000000,1.254969506,-0.117194518,0.808843904,-0.024441490,0.587508841,-0.078265470,0.002741284,3.830129123,-5.636837558,10.103969742,,,
1777445871.329241,-0.012673413,0.007439757,0.001743911,0.000025180,0.000016298,0.000422633,1.000000000,-5.751002312,3.738223076,-9.988800049,0.011287345,0.011230471,0.026203418,0.707209229,-0.022747898,0.018659860,0.706391931,0.000000000,14.000000000,1777445871286349.000000000,1777445871286349.000000000,-1.072214603,-0.111231625,-0.007178934,1.000000000,0.003462443,0.003024020,0.002109405,,,,,,,,,,,,,,
1777445871.334259,-0.011656174,0.007454868,0.001018016,0.000025185,0.000016301,0.000422647,1.000000000,-5.756378651,3.737730503,-9.988800049,0.011306536,0.011248834,0.026226932,0.707210302,-0.022781463,0.018652327,0.706389964,0.000000000,14.000000000,1777445871291349.000000000,1777445871291349.000000000,-1.071109176,-0.114419878,-0.007220755,1.000000000,0.003468899,0.003029138,0.002110381,,,,,,,,,,,,,,
1777445871.334613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.370000000,1.254956990,-0.117220947,0.808847277,-0.024443317,0.587504146,-0.078297043,0.002735839,3.829970283,-5.642251682,10.103920239,,,
1777445871.338982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.375000000,1.254943660,-0.117250684,0.808850853,-0.024445520,0.587499159,-0.078331982,0.002729975,3.829795943,-5.647660575,10.103870773,,,
1777445871.340485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.537757526,2.546031189,-9.995555878
1777445871.341569,-0.010794505,0.006304783,0.001804878,0.000025202,0.000016313,0.000422693,1.000000000,-5.764433384,3.736996651,-9.988780975,0.011364422,0.011304195,0.026297640,0.707212031,-0.022827294,0.018639985,0.706387043,0.000000000,14.000000000,1777445871298849.000000000,1777445871298849.000000000,-1.069443703,-0.119190544,-0.007252350,1.000000000,0.003489846,0.003046069,0.002114838,,,,,,,,,,,,,,
1777445871.344004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.380000000,1.254929459,-0.117283662,0.808854647,-0.024448089,0.587493858,-0.078370234,0.002723693,3.829606099,-5.653064235,10.103821347,,,
